fecha,hora,destino,compañia,tipo_vuelo,tipo_avion,registro,id_aeronave,total_ocupantes,pasajeros_a_bordo,tripulacion_a_bordo,fallecidos,pasajeros_fallecidos,tripulacion_fallecida,fallecidos_en_tierra,resumen,pais,anio,mes,categoria,sobrevivientes
1908-09-17,17:18,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,sin dato,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Virginia,1908,9,other cause,1.0
1912-07-12,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,sin dato,sin dato,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",sin dato,1912,7,other cause,0.0
1920-12-14,12:15,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8.0,6.0,2.0,4.0,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,England,1920,12,collision,4.0
1922-03-22,11:40,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),sin dato,sin dato,6.0,5.0,1.0,5.0,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",sin dato,1922,3,other cause,1.0
1922-04-07,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",France,1922,4,collision,0.0
1922-07-16,16:45,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,F-FREI,25,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,France,1922,7,collision,0.0
1923-05-14,13:42,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,F-AEBY,15,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",France,1923,5,structural failure,0.0
1923-08-27,17:30,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11.0,9.0,2.0,1.0,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",sin dato,1923,8,collision,10.0
1923-09-14,18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,England,1923,9,collision,0.0
1924-12-24,12:00,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,G-EBBX,36,8.0,7.0,1.0,8.0,7.0,1.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",England,1924,12,collision,0.0
